@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,tobias,joel,gangbad,gangeingang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,32.200001,-36.400002,0,17,30,30,30,30,30,30,24.625,24.625,7.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
stube,32.200001,-36.400002,0,17,30,30,30,30,30,30,24.625,24.625,7.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
stube,32.200001,-36.400002,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,32,-35.5,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,32,-35.5,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,32,-35.5,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,32,-35.5,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,31.200001,-35,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,31.200001,-35,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,31.200001,-35,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,31.200001,-35,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,24.200001,-39,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,24.200001,-39,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,24.200001,-39,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,24.200001,-39,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,23.1,-38.599998,0,8,34,34,34,34,34,34,26.5,26.5,18.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,23.1,-38.599998,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,23.1,-38.599998,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,23.1,-38.599998,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.1,-36,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.1,-36,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.1,-36,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.1,-36,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.6,-34.400002,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.6,-34.400002,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.6,-34.400002,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,25.6,-34.400002,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,21.5,-36.299999,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,21.5,-36.299999,0,6,34,34,34,34,34,34,26.25,26.25,20.25,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75
stube,21.5,-36.299999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,21.5,-36.299999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,17.4,-37.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,17.4,-37.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,17.4,-37.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,17.4,-37.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,13.5,-39,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,13.5,-39,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,13.5,-39,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,13.5,-39,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.8,-39.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.8,-39.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.8,-39.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.8,-39.799999,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.5,-39.700001,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.5,-39.700001,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.5,-39.700001,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,9.5,-39.700001,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,16.700001,-37.099998,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,16.700001,-37.099998,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,16.700001,-37.099998,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,16.700001,-37.099998,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,17.700001,-36.5,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,17.700001,-36.5,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,17.700001,-36.5,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,17.700001,-36.5,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,18.799999,-35.799999,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,18.799999,-35.799999,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,18.799999,-35.799999,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,18.799999,-35.799999,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,19,-35.700001,0,1,34,34,34,34,34,34,25.625,25.625,24.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,19,-35.700001,1,0,33,33,33,33,33,33,24.875,23.875,24.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,19,-35.700001,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,19,-35.700001,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,18.4,-35.900002,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,18.4,-35.900002,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,18.4,-35.900002,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,18.4,-35.900002,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,19.299999,-35.299999,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,19.299999,-35.299999,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,19.299999,-35.299999,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,19.299999,-35.299999,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,20.200001,-34.599998,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,20.200001,-34.599998,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,20.200001,-34.599998,6,0,36,36,36,36,36,36,27.75,21.75,27.75,-8.25,-8.25,-8.25,-8.25,-8.25,-8.25
stube,20.200001,-34.599998,5,0,35,35,35,35,35,35,26.875,21.875,26.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,19.5,-34.599998,5,0,35,35,35,35,35,35,26.875,21.875,26.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,19.5,-34.599998,5,0,35,35,35,35,35,35,26.875,21.875,26.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,19.5,-34.599998,5,0,35,35,35,35,35,35,26.875,21.875,26.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,19.5,-34.599998,5,0,35,35,35,35,35,35,26.875,21.875,26.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
