@relation TestInstances

@attribute room {badklein,gang,badgross}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
badklein,19,-52,-56,-80,-89,-89,-89,-89,-89,-89,-83.75,-27.75,-3.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,19,-52,-56,-73,-89,-89,-89,-89,-89,-89,-82.875,-26.875,-9.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,16,-54,-56,-73,-89,-89,-89,-89,-89,-89,-82.875,-26.875,-9.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,15,-55,-56,-73,-89,-89,-89,-89,-89,-89,-82.875,-26.875,-9.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,15,-55,-56,-77,-89,-89,-89,-89,-89,-89,-83.375,-27.375,-6.375,5.625,5.625,5.625,5.625,5.625,5.625
badklein,15,-56,-56,-77,-89,-89,-89,-89,-89,-89,-83.375,-27.375,-6.375,5.625,5.625,5.625,5.625,5.625,5.625
badklein,16,-56,-56,-77,-89,-89,-89,-89,-89,-89,-83.375,-27.375,-6.375,5.625,5.625,5.625,5.625,5.625,5.625
badklein,20,-56,-56,-77,-89,-89,-89,-89,-89,-89,-83.375,-27.375,-6.375,5.625,5.625,5.625,5.625,5.625,5.625
badklein,22,-56,-56,-68,-89,-89,-89,-89,-89,-89,-82.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75
badklein,23,-56,-56,-68,-89,-89,-89,-89,-89,-89,-82.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75
badklein,25,-55,-56,-68,-89,-89,-89,-89,-89,-89,-82.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75
badklein,26,-55,-56,-68,-89,-89,-89,-89,-89,-89,-82.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75
badklein,26,-55,-56,-67,-89,-89,-89,-89,-89,-89,-82.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875
badklein,22,-57,-56,-67,-89,-89,-89,-89,-89,-89,-82.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875
badklein,19,-58,-56,-67,-89,-89,-89,-89,-89,-89,-82.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875
badklein,17,-59,-56,-67,-89,-89,-89,-89,-89,-89,-82.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875
badklein,18,-59,-56,-67,-89,-89,-89,-89,-89,-89,-82.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875
badklein,18,-59,-56,-63,-89,-89,-89,-89,-89,-89,-81.625,-25.625,-18.625,7.375,7.375,7.375,7.375,7.375,7.375
badklein,26,-56,-56,-63,-89,-89,-89,-89,-89,-89,-81.625,-25.625,-18.625,7.375,7.375,7.375,7.375,7.375,7.375
badklein,21,-58,-56,-63,-89,-89,-89,-89,-89,-89,-81.625,-25.625,-18.625,7.375,7.375,7.375,7.375,7.375,7.375
badklein,24,-57,-56,-63,-89,-89,-89,-89,-89,-89,-81.625,-25.625,-18.625,7.375,7.375,7.375,7.375,7.375,7.375
badklein,24,-57,-56,-71,-89,-89,-89,-89,-89,-89,-82.625,-26.625,-11.625,6.375,6.375,6.375,6.375,6.375,6.375
badklein,22,-58,-56,-71,-89,-89,-89,-89,-89,-89,-82.625,-26.625,-11.625,6.375,6.375,6.375,6.375,6.375,6.375
