@relation TestInstances

@attribute room {stube,kueche,badgross,badklein,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
kueche,58,69,69,89,87,0,0,0,46.5,-11.5,-22.5,-22.5,-42.5,-40.5,46.5,46.5,46.5
kueche,58,71,93,93,93,0,0,0,51,-7,-20,-42,-42,-42,51,51,51
kueche,58,67,93,93,93,0,0,0,50.5,-7.5,-16.5,-42.5,-42.5,-42.5,50.5,50.5,50.5
kueche,58,76,93,93,93,0,0,0,51.625,-6.375,-24.375,-41.375,-41.375,-41.375,51.625,51.625,51.625
kueche,58,67,93,93,93,0,0,0,50.5,-7.5,-16.5,-42.5,-42.5,-42.5,50.5,50.5,50.5
kueche,58,68,93,93,93,0,0,0,50.625,-7.375,-17.375,-42.375,-42.375,-42.375,50.625,50.625,50.625
kueche,59,76,93,93,93,0,0,0,51.75,-7.25,-24.25,-41.25,-41.25,-41.25,51.75,51.75,51.75
kueche,59,71,94,94,94,0,0,0,51.5,-7.5,-19.5,-42.5,-42.5,-42.5,51.5,51.5,51.5
kueche,59,70,94,94,94,0,0,0,51.375,-7.625,-18.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
kueche,57,72,94,94,94,0,0,0,51.375,-5.625,-20.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
kueche,57,73,94,94,94,0,0,0,51.5,-5.5,-21.5,-42.5,-42.5,-42.5,51.5,51.5,51.5
kueche,57,75,94,94,94,0,0,0,51.75,-5.25,-23.25,-42.25,-42.25,-42.25,51.75,51.75,51.75
kueche,57,76,94,94,94,0,0,0,51.875,-5.125,-24.125,-42.125,-42.125,-42.125,51.875,51.875,51.875
kueche,56,73,94,94,94,0,0,0,51.375,-4.625,-21.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
kueche,56,70,94,94,94,0,0,0,51,-5,-19,-43,-43,-43,51,51,51
kueche,56,69,94,94,94,0,0,0,50.875,-5.125,-18.125,-43.125,-43.125,-43.125,50.875,50.875,50.875
kueche,56,73,94,94,94,0,0,0,51.375,-4.625,-21.625,-42.625,-42.625,-42.625,51.375,51.375,51.375
kueche,57,70,70,82,86,0,0,0,45.625,-11.375,-24.375,-24.375,-36.375,-40.375,45.625,45.625,45.625
kueche,57,75,75,78,94,0,0,0,47.375,-9.625,-27.625,-27.625,-30.625,-46.625,47.375,47.375,47.375
kueche,57,71,92,92,92,0,0,0,50.5,-6.5,-20.5,-41.5,-41.5,-41.5,50.5,50.5,50.5
kueche,57,68,88,88,88,0,0,0,48.625,-8.375,-19.375,-39.375,-39.375,-39.375,48.625,48.625,48.625
kueche,56,65,85,85,85,0,0,0,47,-9,-18,-38,-38,-38,47,47,47
kueche,56,67,85,85,85,0,0,0,47.25,-8.75,-19.75,-37.75,-37.75,-37.75,47.25,47.25,47.25
kueche,56,71,85,85,85,0,0,0,47.75,-8.25,-23.25,-37.25,-37.25,-37.25,47.75,47.75,47.75
kueche,56,74,85,85,85,0,0,0,48.125,-7.875,-25.875,-36.875,-36.875,-36.875,48.125,48.125,48.125
kueche,57,67,88,88,88,0,0,0,48.5,-8.5,-18.5,-39.5,-39.5,-39.5,48.5,48.5,48.5
kueche,57,65,88,88,88,0,0,0,48.25,-8.75,-16.75,-39.75,-39.75,-39.75,48.25,48.25,48.25
kueche,57,61,86,86,86,0,0,0,47,-10,-14,-39,-39,-39,47,47,47
kueche,57,64,86,86,86,0,0,0,47.375,-9.625,-16.625,-38.625,-38.625,-38.625,47.375,47.375,47.375
kueche,56,64,90,90,90,0,0,0,48.75,-7.25,-15.25,-41.25,-41.25,-41.25,48.75,48.75,48.75
badgross,62,79,95,95,96,0,0,0,53.375,-8.625,-25.625,-41.625,-41.625,-42.625,53.375,53.375,53.375
badgross,62,79,95,95,95,0,0,0,53.25,-8.75,-25.75,-41.75,-41.75,-41.75,53.25,53.25,53.25
badgross,62,75,95,95,92,0,0,0,52.375,-9.625,-22.625,-42.625,-42.625,-39.625,52.375,52.375,52.375
badgross,63,77,95,95,93,0,0,0,52.875,-10.125,-24.125,-42.125,-42.125,-40.125,52.875,52.875,52.875
badgross,63,69,95,95,93,0,0,0,51.875,-11.125,-17.125,-43.125,-43.125,-41.125,51.875,51.875,51.875
badgross,63,77,88,88,96,0,0,0,51.5,-11.5,-25.5,-36.5,-36.5,-44.5,51.5,51.5,51.5
badgross,63,74,88,88,88,0,0,0,50.125,-12.875,-23.875,-37.875,-37.875,-37.875,50.125,50.125,50.125
badgross,64,72,88,88,93,0,0,0,50.625,-13.375,-21.375,-37.375,-37.375,-42.375,50.625,50.625,50.625
badgross,64,74,88,88,93,0,0,0,50.875,-13.125,-23.125,-37.125,-37.125,-42.125,50.875,50.875,50.875
badgross,64,80,94,94,95,0,0,0,53.375,-10.625,-26.625,-40.625,-40.625,-41.625,53.375,53.375,53.375
badgross,64,73,94,94,95,0,0,0,52.5,-11.5,-20.5,-41.5,-41.5,-42.5,52.5,52.5,52.5
badgross,64,72,94,94,96,0,0,0,52.5,-11.5,-19.5,-41.5,-41.5,-43.5,52.5,52.5,52.5
badgross,64,74,90,90,93,0,0,0,51.375,-12.625,-22.625,-38.625,-38.625,-41.625,51.375,51.375,51.375
badgross,64,82,87,87,93,0,0,0,51.625,-12.375,-30.375,-35.375,-35.375,-41.375,51.625,51.625,51.625
badgross,64,80,87,87,93,0,0,0,51.375,-12.625,-28.625,-35.625,-35.625,-41.625,51.375,51.375,51.375
badgross,63,82,87,87,93,0,0,0,51.5,-11.5,-30.5,-35.5,-35.5,-41.5,51.5,51.5,51.5
badgross,63,84,87,87,93,0,0,0,51.75,-11.25,-32.25,-35.25,-35.25,-41.25,51.75,51.75,51.75
badgross,63,84,94,94,97,0,0,0,54,-9,-30,-40,-40,-43,54,54,54
badgross,63,83,89,89,95,0,0,0,52.375,-10.625,-30.625,-36.625,-36.625,-42.625,52.375,52.375,52.375
badgross,62,76,89,89,95,0,0,0,51.375,-10.625,-24.625,-37.625,-37.625,-43.625,51.375,51.375,51.375
badgross,62,74,93,93,96,0,0,0,52.25,-9.75,-21.75,-40.75,-40.75,-43.75,52.25,52.25,52.25
badklein,60,72,90,90,96,0,0,0,51,-9,-21,-39,-39,-45,51,51,51
badklein,60,76,90,90,94,0,0,0,51.25,-8.75,-24.75,-38.75,-38.75,-42.75,51.25,51.25,51.25
badklein,60,83,90,90,94,0,0,0,52.125,-7.875,-30.875,-37.875,-37.875,-41.875,52.125,52.125,52.125
badklein,60,81,90,90,94,0,0,0,51.875,-8.125,-29.125,-38.125,-38.125,-42.125,51.875,51.875,51.875
badklein,57,73,87,87,98,0,0,0,50.25,-6.75,-22.75,-36.75,-36.75,-47.75,50.25,50.25,50.25
badklein,57,75,87,87,99,0,0,0,50.625,-6.375,-24.375,-36.375,-36.375,-48.375,50.625,50.625,50.625
badklein,57,72,87,87,96,0,0,0,49.875,-7.125,-22.125,-37.125,-37.125,-46.125,49.875,49.875,49.875
badklein,57,75,90,90,96,0,0,0,51,-6,-24,-39,-39,-45,51,51,51
badklein,57,76,90,90,96,0,0,0,51.125,-5.875,-24.875,-38.875,-38.875,-44.875,51.125,51.125,51.125
badklein,57,74,91,91,96,0,0,0,51.125,-5.875,-22.875,-39.875,-39.875,-44.875,51.125,51.125,51.125
badklein,57,69,91,91,94,0,0,0,50.25,-6.75,-18.75,-40.75,-40.75,-43.75,50.25,50.25,50.25
badklein,57,71,91,91,94,0,0,0,50.5,-6.5,-20.5,-40.5,-40.5,-43.5,50.5,50.5,50.5
badklein,61,75,91,91,94,0,0,0,51.5,-9.5,-23.5,-39.5,-39.5,-42.5,51.5,51.5,51.5
