@relation TestInstances

@attribute room {marius,joel,stube}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute light numeric
@attribute pressure numeric

@data
joel,-64,-64,-64,-64,-64,-64,-64,1,959.222778
joel,-65,-65,-65,-65,-65,-65,-65,1,959.19281
joel,-61,-61,-61,-61,-61,-61,-61,1,959.222778
joel,-61,-61,-61,-61,-61,-61,-61,1,959.222778
joel,-61,-61,-61,-61,-61,-61,-61,2,959.19281
joel,-65,-65,-65,-65,-65,-65,-65,2,959.252808
joel,-53,-53,-53,-53,-53,-53,-53,2,959.19281
joel,-56,-56,-56,-56,-56,-56,-56,2,959.222778
joel,-56,-56,-56,-56,-56,-56,-56,2,959.282776
joel,-58,-58,-58,-58,-58,-58,-58,2,959.19281
joel,-65,-65,-65,-65,-65,-65,-65,2,959.282776
joel,-67,-67,-67,-67,-67,-67,-67,2,959.142822
joel,-60,-60,-60,-60,-60,-60,-60,2,959.222778
joel,-61,-61,-61,-61,-61,-61,-61,1,959.252808
joel,-64,-64,-64,-64,-64,-64,-64,1,959.19281
joel,-60,-60,-60,-60,-60,-60,-60,1,959.312744
joel,-61,-61,-61,-61,-61,-61,-61,1,959.282776
joel,-56,-56,-56,-56,-56,-56,-56,2,959.282776
joel,-56,-56,-56,-56,-56,-56,-56,2,959.222778
joel,-58,-58,-58,-58,-58,-58,-58,2,959.072876
joel,-55,-55,-55,-55,-55,-55,-55,2,959.282776
joel,-51,-51,-51,-51,-51,-51,-51,6,959.342712
joel,-51,-51,-51,-51,-51,-51,-51,3,959.112854
joel,-47,-47,-47,-47,-47,-47,-47,3,959.282776
joel,-43,-43,-43,-43,-43,-43,-43,5,959.222778
joel,-41,-41,-41,-41,-41,-41,-41,2,959.222778
joel,-45,-45,-45,-45,-45,-45,-45,1,959.252808
stube,-76,-76,-76,-76,-76,-76,-76,1,959.482666
stube,-80,-80,-80,-80,-80,-80,-80,1,959.482666
stube,-78,-78,-78,-78,-78,-78,-78,1,959.482666
stube,-80,-80,-80,-80,-80,-80,-80,2,959.512634
stube,-80,-80,-80,-80,-80,-80,-80,2,959.512634
stube,-82,-82,-82,-82,-82,-82,-82,2,959.512634
stube,-78,-78,-78,-78,-78,-78,-78,3,959.482666
stube,-78,-78,-78,-78,-78,-78,-78,21,959.512634
stube,-76,-76,-76,-76,-76,-76,-76,17,959.512634
stube,-79,-79,-79,-79,-79,-79,-79,12,959.512634
stube,-78,-78,-78,-78,-78,-78,-78,2,959.482666
stube,-82,-82,-82,-82,-82,-82,-82,1,959.442688
