@relation TestInstances

@attribute room {stube,kueche,wcgross}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute light numeric
@attribute pressure numeric

@data
kueche,-57,-83,-85,-80,-80,-80,-80,34,959.562622
kueche,-58,-83,-88,-80,-80,-80,-80,26,959.41272
kueche,-58,-83,-90,-80,-80,-80,-80,28,959.472656
kueche,-58,-83,-90,-80,-80,-80,-80,66,959.432678
kueche,-58,-83,-90,-80,-80,-80,-80,78,959.462646
kueche,-56,-94,-91,-91,-91,-91,-91,88,959.562622
kueche,-56,-90,-91,-91,-90,-90,-90,43,959.462646
kueche,-56,-90,-91,-91,-90,-90,-90,16,959.522644
kueche,-56,-90,-91,-91,-90,-90,-90,13,959.522644
kueche,-56,-90,-91,-91,-90,-90,-90,13,959.432678
kueche,-56,-90,-88,-88,-88,-88,-88,11,959.492676
kueche,-56,-90,-88,-88,-88,-88,-88,11,958.912964
kueche,-56,-87,-88,-88,-90,-90,-90,10,959.432678
kueche,-56,-88,-88,-88,-88,-88,-88,9,959.522644
kueche,-56,-89,-88,-88,-88,-88,-88,9,958.9729
kueche,-56,-90,-88,-88,-93,-93,-93,12,959.582581
kueche,-56,-90,-88,-88,-93,-93,-93,19,959.40271
kueche,-56,-90,-88,-88,-92,-92,-92,34,959.522644
kueche,-52,-84,-91,-91,-92,-92,-92,43,958.9729
kueche,-52,-84,-91,-91,-92,-92,-92,41,959.532593
kueche,-52,-84,-93,-93,-93,-93,-93,11,959.432678
wcgross,-63,-83,-83,-83,-83,-83,-83,12,960.012329
wcgross,-63,-88,-95,-95,-95,-95,-95,16,959.522644
wcgross,-65,-89,-89,-89,-89,-89,-89,16,959.432678
wcgross,-65,-84,-84,-84,-84,-84,-84,14,959.372681
wcgross,-65,-84,-84,-84,-84,-84,-84,15,959.452637
wcgross,-65,-84,-84,-84,-84,-84,-84,20,959.122864
wcgross,-65,-84,-84,-84,-84,-84,-84,28,959.692505
wcgross,-66,-84,-84,-84,-84,-84,-84,13,959.762512
wcgross,-66,-84,-84,-84,-84,-84,-84,19,958.433228
wcgross,-66,-84,-84,-84,-84,-84,-84,14,959.512634
wcgross,-66,-88,-88,-88,-88,-88,-88,16,959.542603
wcgross,-66,-84,-84,-84,-84,-84,-84,14,959.482666
wcgross,-66,-87,-87,-87,-87,-87,-87,16,959.542603
wcgross,-66,-87,-87,-87,-87,-87,-87,17,959.482666
wcgross,-66,-86,-86,-86,-86,-86,-86,19,959.542603
wcgross,-66,-93,-93,-93,-93,-93,-93,17,959.452637
wcgross,-66,-93,-93,-93,-93,-93,-93,16,959.482666
wcgross,-67,-82,-82,-82,-82,-82,-82,18,959.452637
wcgross,-67,-82,-82,-82,-82,-82,-82,12,959.38269
wcgross,-67,-82,-82,-82,-82,-82,-82,11,959.512634
wcgross,-67,-82,-82,-82,-82,-82,-82,10,959.442688
wcgross,-67,-82,-82,-82,-82,-82,-82,11,959.502625
wcgross,-67,-82,-82,-82,-82,-82,-82,14,959.442688
wcgross,-67,-88,-88,-88,-88,-88,-88,13,959.542603
wcgross,-67,-88,-88,-88,-94,-94,-94,10,959.502625
wcgross,-67,-88,-88,-88,-94,-94,-94,8,959.502625
wcgross,-67,-88,-88,-88,-94,-94,-94,9,959.622559
wcgross,-68,-88,-88,-88,-94,-94,-94,9,959.322754
wcgross,-68,-88,-88,-93,-93,-93,-93,10,959.502625
wcgross,-68,-88,-88,-93,-93,-93,-93,24,959.502625
wcgross,-68,-88,-88,-93,-93,-93,-93,33,959.442688
wcgross,-68,-87,-83,-83,-83,-83,-83,35,959.442688
wcgross,-68,-87,-83,-83,-83,-83,-83,20,959.472656
wcgross,-68,-87,-83,-83,-83,-83,-83,15,959.532593
wcgross,-68,-82,-77,-77,-77,-77,-77,11,959.502625
wcgross,-68,-82,-77,-77,-77,-77,-77,11,959.8125
wcgross,-68,-82,-77,-77,-77,-77,-77,14,959.502625
wcgross,-67,-82,-77,-77,-77,-77,-77,12,959.562622
wcgross,-67,-82,-83,-83,-83,-83,-83,18,959.472656
wcgross,-67,-85,-85,-85,-85,-85,-85,19,959.442688
wcgross,-67,-85,-85,-85,-85,-85,-85,21,959.422668
wcgross,-67,-85,-85,-92,-92,-92,-92,28,959.41272
wcgross,-67,-85,-85,-92,-92,-92,-92,28,959.742493
wcgross,-67,-85,-85,-92,-92,-92,-92,22,959.502625
wcgross,-67,-85,-85,-92,-92,-92,-92,22,959.532593
wcgross,-67,-85,-88,-88,-93,-93,-93,17,959.682556
wcgross,-66,-85,-88,-88,-93,-93,-93,13,959.442688
