@relation TestInstances

@attribute room {kueche,stube,nicola,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric
@attribute magneticY numeric
@attribute magneticZ numeric

@data
kueche,0,-14,-36,-36,-36,-36,-36,-36,-28.75,-28.75,-14.75,7.25,7.25,7.25,7.25,7.25,7.25,24.877033,-34.351395
kueche,0,-8,-36,-36,-36,-36,-36,-36,-28,-28,-20,8,8,8,8,8,8,31.440052,-35.88179
kueche,0,-8,-38,-38,-38,-38,-38,-38,-29.5,-29.5,-21.5,8.5,8.5,8.5,8.5,8.5,8.5,19.16283,-39.778236
stube,0,-24,-24,-34,-34,-34,-34,-34,-27.25,-27.25,-3.25,-3.25,6.75,6.75,6.75,6.75,6.75,19.288399,-39.248352
stube,0,-19,-19,-31,-31,-31,-31,-31,-24.125,-24.125,-5.125,-5.125,6.875,6.875,6.875,6.875,6.875,18.674189,-39.916203
stube,0,-26,-26,-31,-31,-31,-31,-31,-25.875,-25.875,0.125,0.125,5.125,5.125,5.125,5.125,5.125,19.32608,-39.090591
stube,0,-19,-19,-31,-31,-31,-31,-31,-24.125,-24.125,-5.125,-5.125,6.875,6.875,6.875,6.875,6.875,19.026363,-38.643253
stube,0,-21,-21,-28,-28,-28,-28,-28,-22.75,-22.75,-1.75,-1.75,5.25,5.25,5.25,5.25,5.25,18.746204,-39.421547
stube,0,-14,-14,-31,-31,-31,-31,-31,-22.875,-22.875,-8.875,-8.875,8.125,8.125,8.125,8.125,8.125,18.228954,-39.215321
stube,0,-15,-15,-31,-31,-31,-31,-31,-23.125,-23.125,-8.125,-8.125,7.875,7.875,7.875,7.875,7.875,18.692085,-39.207977
stube,0,-15,-15,-31,-31,-31,-31,-31,-23.125,-23.125,-8.125,-8.125,7.875,7.875,7.875,7.875,7.875,18.573458,-38.870998
stube,0,-11,-11,-28,-28,-28,-28,-28,-20.25,-20.25,-9.25,-9.25,7.75,7.75,7.75,7.75,7.75,18.381193,-38.47744
stube,0,-12,-36,-36,-36,-36,-36,-36,-28.5,-28.5,-16.5,7.5,7.5,7.5,7.5,7.5,7.5,17.5818,-39.396004
stube,0,-11,-36,-36,-36,-36,-36,-36,-28.375,-28.375,-17.375,7.625,7.625,7.625,7.625,7.625,7.625,16.999321,-39.45454
stube,0,-14,-35,-35,-35,-35,-35,-35,-28,-28,-14,7,7,7,7,7,7,12.627888,-39.585587
stube,0,-7,-30,-30,-30,-30,-30,-30,-23.375,-23.375,-16.375,6.625,6.625,6.625,6.625,6.625,6.625,13.614918,-40.237427
stube,0,-5,-26,-26,-26,-26,-26,-26,-20.125,-20.125,-15.125,5.875,5.875,5.875,5.875,5.875,5.875,23.582144,-40.685768
stube,0,-2,-27,-27,-27,-27,-27,-27,-20.5,-20.5,-18.5,6.5,6.5,6.5,6.5,6.5,6.5,23.552015,-43.690094
stube,-3,0,-33,-33,-33,-33,-33,-33,-25.125,-22.125,-25.125,7.875,7.875,7.875,7.875,7.875,7.875,18.175571,-39.232201
stube,-3,0,-33,-33,-33,-33,-33,-33,-25.125,-22.125,-25.125,7.875,7.875,7.875,7.875,7.875,7.875,12.10798,-40.148319
stube,0,-5,-34,-34,-34,-34,-34,-34,-26.125,-26.125,-21.125,7.875,7.875,7.875,7.875,7.875,7.875,19.586702,-41.249157
stube,0,-5,-34,-34,-34,-34,-34,-34,-26.125,-26.125,-21.125,7.875,7.875,7.875,7.875,7.875,7.875,19.586702,-41.249157
stube,0,-14,-36,-36,-36,-36,-36,-36,-28.75,-28.75,-14.75,7.25,7.25,7.25,7.25,7.25,7.25,16.866053,-39.684067
stube,0,-13,-39,-39,-39,-39,-39,-39,-30.875,-30.875,-17.875,8.125,8.125,8.125,8.125,8.125,8.125,24.002401,-37.271778
stube,0,-9,-39,-39,-39,-39,-39,-39,-30.375,-30.375,-21.375,8.625,8.625,8.625,8.625,8.625,8.625,20.962645,-43.175571
stube,0,-11,-39,-39,-39,-39,-39,-39,-30.625,-30.625,-19.625,8.375,8.375,8.375,8.375,8.375,8.375,18.776154,-42.511158
stube,0,-15,-43,-43,-43,-43,-43,-43,-34.125,-34.125,-19.125,8.875,8.875,8.875,8.875,8.875,8.875,20.07951,-37.554691
stube,0,-16,-39,-39,-39,-39,-39,-39,-31.25,-31.25,-15.25,7.75,7.75,7.75,7.75,7.75,7.75,15.642153,-39.577385
stube,0,-21,-40,-40,-40,-40,-40,-40,-32.625,-32.625,-11.625,7.375,7.375,7.375,7.375,7.375,7.375,13.98025,-40.977428
stube,0,-22,-40,-40,-40,-40,-40,-40,-32.75,-32.75,-10.75,7.25,7.25,7.25,7.25,7.25,7.25,11.414244,-41.513443
stube,0,-20,-37,-37,-37,-37,-37,-37,-30.25,-30.25,-10.25,6.75,6.75,6.75,6.75,6.75,6.75,16.261709,-36.713264
stube,0,-16,-41,-41,-41,-41,-41,-41,-32.75,-32.75,-16.75,8.25,8.25,8.25,8.25,8.25,8.25,16.107672,-37.147373
stube,0,-8,-41,-41,-41,-41,-41,-41,-31.75,-31.75,-23.75,9.25,9.25,9.25,9.25,9.25,9.25,19.686878,-33.780251
stube,0,-14,-38,-38,-38,-38,-38,-38,-30.25,-30.25,-16.25,7.75,7.75,7.75,7.75,7.75,7.75,18.009504,-25.159477
stube,0,-9,-32,-32,-32,-32,-32,-32,-25.125,-25.125,-16.125,6.875,6.875,6.875,6.875,6.875,6.875,45.748066,-15.26958
stube,0,-11,-34,-34,-34,-34,-34,-34,-26.875,-26.875,-15.875,7.125,7.125,7.125,7.125,7.125,7.125,25.978222,-8.916922
stube,0,-8,-37,-37,-37,-37,-37,-37,-28.75,-28.75,-20.75,8.25,8.25,8.25,8.25,8.25,8.25,14.383841,-27.459465
stube,0,-8,-37,-37,-37,-37,-37,-37,-28.75,-28.75,-20.75,8.25,8.25,8.25,8.25,8.25,8.25,9.445388,-31.488691
stube,0,-4,-42,-42,-42,-42,-42,-42,-32,-32,-28,10,10,10,10,10,10,16.283175,-31.314985
stube,0,-3,-41,-41,-41,-41,-41,-41,-31.125,-31.125,-28.125,9.875,9.875,9.875,9.875,9.875,9.875,16.735224,-32.886623
stube,0,-13,-44,-44,-44,-44,-44,-44,-34.625,-34.625,-21.625,9.375,9.375,9.375,9.375,9.375,9.375,12.501453,-35.780987
stube,0,-16,-40,-40,-40,-40,-40,-40,-32,-32,-16,8,8,8,8,8,8,17.390289,-34.579948
stube,0,-12,-41,-41,-41,-41,-41,-41,-32.25,-32.25,-20.25,8.75,8.75,8.75,8.75,8.75,8.75,11.745428,-36.073952
stube,0,-10,-39,-39,-39,-39,-39,-39,-30.5,-30.5,-20.5,8.5,8.5,8.5,8.5,8.5,8.5,11.13386,-36.272381
stube,0,-12,-35,-35,-35,-35,-35,-35,-27.75,-27.75,-15.75,7.25,7.25,7.25,7.25,7.25,7.25,16.78738,-33.79945
stube,0,-8,-34,-34,-34,-34,-34,-34,-26.5,-26.5,-18.5,7.5,7.5,7.5,7.5,7.5,7.5,19.037315,-33.481087
stube,0,-2,-38,-38,-38,-38,-38,-38,-28.75,-28.75,-26.75,9.25,9.25,9.25,9.25,9.25,9.25,5.572954,-38.881779
stube,0,-9,-37,-37,-37,-37,-37,-37,-28.875,-28.875,-19.875,8.125,8.125,8.125,8.125,8.125,8.125,14.389551,-36.080353
stube,0,-11,-37,-37,-37,-37,-37,-37,-29.125,-29.125,-18.125,7.875,7.875,7.875,7.875,7.875,7.875,16.31414,-34.073246
stube,0,-18,-41,-41,-41,-41,-41,-41,-33,-33,-15,8,8,8,8,8,8,19.587904,-31.279652
stube,0,-18,-36,-36,-36,-36,-36,-36,-29.25,-29.25,-11.25,6.75,6.75,6.75,6.75,6.75,6.75,17.047661,-34.5345
stube,0,-23,-40,-40,-40,-40,-40,-40,-32.875,-32.875,-9.875,7.125,7.125,7.125,7.125,7.125,7.125,17.717829,-34.840393
stube,0,-21,-44,-44,-44,-44,-44,-44,-35.625,-35.625,-14.625,8.375,8.375,8.375,8.375,8.375,8.375,13.639259,-40.629646
stube,0,-21,-44,-44,-44,-44,-44,-44,-35.625,-35.625,-14.625,8.375,8.375,8.375,8.375,8.375,8.375,19.703526,-36.696846
stube,0,-21,-40,-40,-40,-40,-40,-40,-32.625,-32.625,-11.625,7.375,7.375,7.375,7.375,7.375,7.375,26.212593,-37.018036
stube,0,-14,-36,-36,-36,-36,-36,-36,-28.75,-28.75,-14.75,7.25,7.25,7.25,7.25,7.25,7.25,18.427254,-34.27557
stube,0,-7,-38,-38,-38,-38,-38,-38,-29.375,-29.375,-22.375,8.625,8.625,8.625,8.625,8.625,8.625,13.842809,-36.418987
stube,0,-5,-38,-38,-38,-38,-38,-38,-29.125,-29.125,-24.125,8.875,8.875,8.875,8.875,8.875,8.875,13.564281,-35.164455
stube,-5,0,-35,-35,-35,-35,-35,-35,-26.875,-21.875,-26.875,8.125,8.125,8.125,8.125,8.125,8.125,12.202418,-31.125101
stube,-4,0,-34,-34,-34,-34,-34,-34,-26,-22,-26,8,8,8,8,8,8,9.367052,-32.659504
stube,-4,0,-34,-34,-34,-34,-34,-34,-26,-22,-26,8,8,8,8,8,8,8.511757,-33.478367
stube,-4,0,-34,-34,-34,-34,-34,-34,-26,-22,-26,8,8,8,8,8,8,9.127918,-32.790649
stube,-3,0,-32,-32,-32,-32,-32,-32,-24.375,-21.375,-24.375,7.625,7.625,7.625,7.625,7.625,7.625,9.094514,-32.993481
stube,-5,0,-41,-41,-41,-41,-41,-41,-31.375,-26.375,-31.375,9.625,9.625,9.625,9.625,9.625,9.625,8.409938,-32.987579
nicola,0,-18,-18,-28,-28,-28,-28,-28,-22,-22,-4,-4,6,6,6,6,6,15.082232,-36.419144
nicola,0,-18,-18,-23,-23,-23,-23,-23,-18.875,-18.875,-0.875,-0.875,4.125,4.125,4.125,4.125,4.125,15.715544,-36.417065
nicola,0,-15,-34,-34,-34,-34,-34,-34,-27.375,-27.375,-12.375,6.625,6.625,6.625,6.625,6.625,6.625,15.045271,-36.594257
nicola,0,-15,-34,-34,-34,-34,-34,-34,-27.375,-27.375,-12.375,6.625,6.625,6.625,6.625,6.625,6.625,16.512932,-36.245476
nicola,0,-15,-34,-34,-34,-34,-34,-34,-27.375,-27.375,-12.375,6.625,6.625,6.625,6.625,6.625,6.625,16.241381,-36.094864
nicola,0,-12,-31,-31,-31,-31,-31,-31,-24.75,-24.75,-12.75,6.25,6.25,6.25,6.25,6.25,6.25,16.251579,-36.465225
nicola,0,-10,-31,-31,-31,-31,-31,-31,-24.5,-24.5,-14.5,6.5,6.5,6.5,6.5,6.5,6.5,16.655899,-36.363693
nicola,0,-11,-31,-31,-31,-31,-31,-31,-24.625,-24.625,-13.625,6.375,6.375,6.375,6.375,6.375,6.375,17.215946,-36.446739
nicola,0,-8,-31,-31,-31,-31,-31,-31,-24.25,-24.25,-16.25,6.75,6.75,6.75,6.75,6.75,6.75,18.10206,-35.48843
nicola,0,-18,-18,-33,-33,-33,-33,-33,-25.125,-25.125,-7.125,-7.125,7.875,7.875,7.875,7.875,7.875,18.100473,-35.875935
nicola,0,-19,-19,-33,-33,-33,-33,-33,-25.375,-25.375,-6.375,-6.375,7.625,7.625,7.625,7.625,7.625,19.79163,-35.58997
nicola,0,-21,-21,-33,-33,-33,-33,-33,-25.875,-25.875,-4.875,-4.875,7.125,7.125,7.125,7.125,7.125,20.039143,-35.006687
nicola,0,-19,-36,-36,-36,-36,-36,-36,-29.375,-29.375,-10.375,6.625,6.625,6.625,6.625,6.625,6.625,17.855066,-37.395725
nicola,0,-17,-36,-36,-36,-36,-36,-36,-29.125,-29.125,-12.125,6.875,6.875,6.875,6.875,6.875,6.875,14.970495,-38.87315
nicola,0,-18,-36,-36,-36,-36,-36,-36,-29.25,-29.25,-11.25,6.75,6.75,6.75,6.75,6.75,6.75,16.33161,-37.214722
nicola,0,-22,-35,-35,-35,-35,-35,-35,-29,-29,-7,6,6,6,6,6,6,18.562963,-36.050133
nicola,0,-22,-35,-35,-35,-35,-35,-35,-29,-29,-7,6,6,6,6,6,6,20.150993,-36.805122
nicola,0,-26,-26,-30,-30,-30,-30,-30,-25.25,-25.25,0.75,0.75,4.75,4.75,4.75,4.75,4.75,20.755997,-37.051445
nicola,0,-18,-18,-30,-30,-30,-30,-30,-23.25,-23.25,-5.25,-5.25,6.75,6.75,6.75,6.75,6.75,19.676895,-35.946735
nicola,0,-23,-23,-30,-30,-30,-30,-30,-24.5,-24.5,-1.5,-1.5,5.5,5.5,5.5,5.5,5.5,30.718683,-23.898563
nicola,0,-24,-33,-33,-33,-33,-33,-33,-27.75,-27.75,-3.75,5.25,5.25,5.25,5.25,5.25,5.25,27.931219,-27.94853
nicola,0,-27,-33,-33,-33,-33,-33,-33,-28.125,-28.125,-1.125,4.875,4.875,4.875,4.875,4.875,4.875,26.597664,-32.783733
nicola,0,-27,-33,-33,-33,-33,-33,-33,-28.125,-28.125,-1.125,4.875,4.875,4.875,4.875,4.875,4.875,24.669067,-40.637707
nicola,0,-21,-31,-31,-31,-31,-31,-31,-25.875,-25.875,-4.875,5.125,5.125,5.125,5.125,5.125,5.125,18.165293,-37.267426
nicola,0,-24,-31,-31,-32,-32,-32,-32,-26.75,-26.75,-2.75,4.25,4.25,5.25,5.25,5.25,5.25,6.799688,-44.103153
nicola,0,-25,-31,-31,-32,-32,-32,-32,-26.875,-26.875,-1.875,4.125,4.125,5.125,5.125,5.125,5.125,27.615349,-52.531223
nicola,0,-21,-21,-30,-34,-34,-34,-34,-26,-26,-5,-5,4,8,8,8,8,9.760037,-36.829117
nicola,0,-16,-16,-16,-32,-32,-32,-32,-22,-22,-6,-6,-6,10,10,10,10,12.632885,-36.897995
nicola,0,-10,-10,-18,-18,-18,-18,-18,-13.75,-13.75,-3.75,-3.75,4.25,4.25,4.25,4.25,4.25,20.558208,-37.871746
nicola,0,-10,-10,-18,-18,-18,-18,-18,-13.75,-13.75,-3.75,-3.75,4.25,4.25,4.25,4.25,4.25,14.056524,-40.732426
nicola,0,-16,-16,-22,-22,-22,-22,-22,-17.75,-17.75,-1.75,-1.75,4.25,4.25,4.25,4.25,4.25,18.689026,-37.882435
nicola,0,-9,-9,-21,-21,-21,-21,-21,-15.375,-15.375,-6.375,-6.375,5.625,5.625,5.625,5.625,5.625,20.71517,-37.837261
nicola,0,-16,-16,-21,-21,-21,-21,-21,-17.125,-17.125,-1.125,-1.125,3.875,3.875,3.875,3.875,3.875,16.650162,-40.586754
nicola,0,-21,-21,-21,-21,-21,-21,-21,-18.375,-18.375,2.625,2.625,2.625,2.625,2.625,2.625,2.625,21.538921,-38.251675
nicola,0,-19,-19,-21,-21,-21,-21,-21,-17.875,-17.875,1.125,1.125,3.125,3.125,3.125,3.125,3.125,24.418711,-35.460682
nicola,0,-13,-13,-22,-22,-22,-22,-22,-17,-17,-4,-4,5,5,5,5,5,17.414043,-38.735775
nicola,0,-17,-17,-21,-21,-21,-21,-21,-17.375,-17.375,-0.375,-0.375,3.625,3.625,3.625,3.625,3.625,14.286934,-39.022282
nicola,0,-10,-10,-21,-21,-21,-21,-21,-15.625,-15.625,-5.625,-5.625,5.375,5.375,5.375,5.375,5.375,17.083019,-38.66613
nicola,0,-14,-14,-21,-21,-21,-21,-21,-16.625,-16.625,-2.625,-2.625,4.375,4.375,4.375,4.375,4.375,18.910572,-38.164658
nicola,0,-12,-12,-22,-22,-22,-22,-22,-16.75,-16.75,-4.75,-4.75,5.25,5.25,5.25,5.25,5.25,14.810528,-40.385105
nicola,0,-18,-18,-22,-22,-22,-22,-22,-18.25,-18.25,-0.25,-0.25,3.75,3.75,3.75,3.75,3.75,19.777811,-34.094486
nicola,0,-17,-17,-22,-22,-22,-22,-22,-18,-18,-1,-1,4,4,4,4,4,16.173477,-35.675499
nicola,0,-7,-7,-7,-28,-28,-28,-28,-16.625,-16.625,-9.625,-9.625,-9.625,11.375,11.375,11.375,11.375,18.330553,-34.126278
nicola,0,-6,-28,-11,-11,-11,-11,-11,-11.125,-11.125,-5.125,16.875,-0.125,-0.125,-0.125,-0.125,-0.125,10.574002,-38.611176
nicola,0,-14,-29,-11,-11,-11,-11,-11,-12.25,-12.25,1.75,16.75,-1.25,-1.25,-1.25,-1.25,-1.25,16.570475,-36.716255
nicola,0,-20,-29,-11,-11,-11,-11,-11,-13,-13,7,16,-2,-2,-2,-2,-2,15.170153,-38.045132
nicola,0,-16,-29,-11,-11,-11,-11,-11,-12.5,-12.5,3.5,16.5,-1.5,-1.5,-1.5,-1.5,-1.5,15.936176,-38.966972
nicola,0,-23,-29,-11,-11,-11,-11,-11,-13.375,-13.375,9.625,15.625,-2.375,-2.375,-2.375,-2.375,-2.375,12.535527,-41.078384
nicola,0,-19,-29,-11,-11,-11,-11,-11,-12.875,-12.875,6.125,16.125,-1.875,-1.875,-1.875,-1.875,-1.875,19.118694,-38.106686
nicola,0,-22,-29,-11,-11,-11,-11,-11,-13.25,-13.25,8.75,15.75,-2.25,-2.25,-2.25,-2.25,-2.25,17.410351,-37.95129
nicola,0,-18,-18,-18,-31,-31,-31,-31,-22.25,-22.25,-4.25,-4.25,-4.25,8.75,8.75,8.75,8.75,22.424274,-34.676949
nicola,0,-17,-17,-17,-29,-29,-29,-29,-20.875,-20.875,-3.875,-3.875,-3.875,8.125,8.125,8.125,8.125,12.111319,-39.723991
gang,0,-24,-34,-33,-33,-33,-33,-33,-27.875,-27.875,-3.875,6.125,5.125,5.125,5.125,5.125,5.125,12.255756,-34.881233
gang,0,-24,-24,-33,-33,-33,-33,-33,-26.625,-26.625,-2.625,-2.625,6.375,6.375,6.375,6.375,6.375,15.473324,-34.705631
gang,0,-22,-22,-33,-33,-33,-33,-33,-26.125,-26.125,-4.125,-4.125,6.875,6.875,6.875,6.875,6.875,20.026161,-35.79435
gang,0,-21,-21,-36,-36,-36,-36,-36,-27.75,-27.75,-6.75,-6.75,8.25,8.25,8.25,8.25,8.25,14.816799,-38.259674
gang,0,-21,-21,-21,-38,-38,-38,-38,-26.875,-26.875,-5.875,-5.875,-5.875,11.125,11.125,11.125,11.125,16.136911,-36.08482
gang,0,-21,-21,-30,-30,-30,-30,-30,-24,-24,-3,-3,6,6,6,6,6,13.132513,-37.355122
gang,0,-17,-17,-33,-33,-33,-33,-33,-24.875,-24.875,-7.875,-7.875,8.125,8.125,8.125,8.125,8.125,16.50123,-35.101273
gang,0,-14,-14,-29,-29,-29,-29,-29,-21.625,-21.625,-7.625,-7.625,7.375,7.375,7.375,7.375,7.375,16.908087,-35.600971
