@relation TestInstances

@attribute room {bed,door,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
bed,26,-37,-53,-52,-78,-89,-76,-83,-88,-78
bed,24,-38,-53,-52,-78,-89,-76,-83,-88,-78
bed,22,-40,-53,-52,-78,-89,-76,-83,-88,-78
bed,21,-41,-53,-52,-78,-89,-76,-83,-88,-78
bed,21,-40,-53,-52,-78,-89,-76,-83,-88,-78
bed,22,-39,-53,-52,-78,-89,-76,-83,-88,-78
bed,22,-39,-45,-52,-80,-89,-76,-85,-88,-82
bed,21,-39,-45,-52,-80,-89,-76,-85,-88,-82
bed,21,-38,-45,-52,-80,-89,-73,-85,-88,-82
bed,23,-37,-45,-52,-80,-89,-73,-85,-88,-82
bed,24,-36,-45,-52,-80,-89,-73,-85,-88,-82
bed,24,-36,-57,-51,-79,-89,-72,-83,-88,-80
bed,25,-36,-57,-51,-79,-89,-72,-83,-88,-80
bed,25,-37,-57,-51,-79,-89,-72,-83,-88,-80
bed,22,-39,-57,-51,-79,-89,-72,-83,-88,-80
bed,19,-40,-57,-51,-79,-89,-72,-83,-88,-80
bed,19,-41,-57,-51,-79,-89,-72,-83,-88,-80
bed,19,-40,-57,-51,-79,-89,-72,-83,-88,-80
bed,19,-40,-46,-47,-82,-89,-72,-80,-88,-82
bed,20,-39,-46,-47,-82,-89,-72,-80,-88,-82
bed,21,-38,-46,-47,-82,-89,-72,-80,-88,-82
bed,22,-37,-46,-47,-82,-89,-72,-80,-88,-82
bed,24,-36,-46,-47,-82,-89,-72,-80,-88,-82
bed,25,-35,-46,-47,-82,-89,-72,-80,-88,-82
bed,25,-35,-55,-47,-82,-89,-73,-85,-88,-82
bed,25,-36,-55,-47,-82,-89,-73,-85,-88,-82
bed,26,-35,-55,-47,-82,-89,-73,-85,-88,-82
bed,24,-37,-55,-47,-82,-89,-73,-85,-88,-82
bed,21,-39,-55,-47,-82,-89,-73,-85,-88,-82
bed,20,-40,-55,-47,-82,-89,-73,-85,-88,-82
bed,20,-40,-56,-52,-87,-89,-73,-77,-88,-84
bed,22,-39,-56,-52,-87,-89,-73,-77,-88,-84
bed,21,-39,-56,-52,-87,-89,-73,-77,-88,-84
bed,21,-38,-56,-52,-87,-89,-73,-77,-88,-84
bed,22,-37,-56,-52,-87,-89,-73,-77,-88,-84
bed,24,-35,-56,-52,-87,-89,-73,-77,-88,-84
bed,25,-35,-56,-52,-87,-89,-73,-77,-88,-84
bed,25,-35,-57,-48,-85,-89,-73,-81,-85,-84
bed,26,-34,-57,-48,-85,-89,-73,-81,-85,-84
bed,27,-34,-57,-48,-85,-89,-73,-81,-85,-84
bed,25,-36,-57,-48,-85,-89,-73,-81,-85,-84
bed,23,-37,-57,-48,-85,-89,-73,-81,-85,-84
bed,21,-38,-57,-48,-85,-89,-73,-81,-85,-84
bed,23,-37,-57,-48,-85,-89,-73,-81,-85,-84
bed,23,-37,-53,-59,-85,-89,-73,-80,-85,-84
bed,21,-37,-53,-59,-85,-89,-73,-80,-85,-84
bed,22,-36,-53,-59,-85,-89,-73,-80,-85,-84
bed,23,-34,-53,-59,-85,-89,-73,-80,-85,-84
bed,25,-33,-53,-59,-85,-89,-73,-80,-85,-84
bed,25,-33,-51,-59,-85,-89,-73,-85,-85,-84
bed,26,-33,-51,-59,-85,-89,-73,-85,-85,-84
bed,27,-32,-51,-59,-85,-89,-73,-85,-85,-84
bed,27,-33,-51,-59,-85,-89,-73,-85,-85,-84
bed,25,-35,-51,-59,-85,-89,-73,-85,-85,-84
bed,21,-38,-51,-59,-85,-89,-73,-85,-85,-84
